
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_MF";="";="";="";=""
="NGDPDPC_Var";="0.0147";="0.0146";="0.0147";="0.0149"
="";="(1.51)";="(1.50)";="(1.50)";="(1.53)"
="NGDP_RPCH";="-0.0279";="-0.0280";="-0.0249";="-0.0268"
="";="(-0.98)";="(-0.98)";="(-0.88)";="(-0.94)"
="ExtDebtPercGNI_Var";="0.00657";="0.00652";="0.00656";="0.00673"
="";="(1.33)";="(1.29)";="(1.24)";="(1.37)"
="BudgetBal_NGDP_Var";="-0.0000733*";="-0.0000756";="-0.0000730";="-0.0000612"
="";="(-1.66)";="(-1.62)";="(-1.51)";="(-1.23)"
="PCPIPCH";="-0.101**";="-0.0996**";="-0.102**";="-0.100**"
="";="(-2.10)";="(-2.07)";="(-2.04)";="(-2.05)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.535";="";="";=""
="";="(-0.73)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.741";="";=""
="";="";="(-1.22)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.898*";=""
="";="";="";="(-1.89)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.251"
="";="";="";="";="(-0.64)"
="Const";="-0.609**";="-0.588**";="-0.549*";="-0.595**"
="";="(-2.04)";="(-1.98)";="(-1.80)";="(-1.97)"

="lnsig2u";="";="";="";=""
="Const";="0.607*";="0.619*";="0.690**";="0.620*"
="";="(1.84)";="(1.86)";="(2.00)";="(1.87)"

="Observations";="665";="665";="665";="665"
="r2_mf";="0.0347";="0.0379";="0.0425";="0.0328"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
