
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.00856";="-0.00847";="-0.00815";="-0.00790"
="";="(-1.32)";="(-1.31)";="(-1.29)";="(-1.26)"
="NGDP_RPCH";="-0.0447**";="-0.0437**";="-0.0468**";="-0.0434**"
="";="(-2.18)";="(-2.12)";="(-2.27)";="(-2.06)"
="ExtDebtPercGNI_Var";="-0.00456**";="-0.00467**";="-0.00442**";="-0.00421**"
="";="(-2.03)";="(-2.10)";="(-2.03)";="(-1.97)"
="BudgetBal_NGDP_Var";="-0.0000222";="-0.0000176";="-0.0000189";="-0.0000205"
="";="(-0.41)";="(-0.32)";="(-0.37)";="(-0.40)"
="PCPIPCH";="-0.000254";="-0.000278";="-0.000280";="-0.000366"
="";="(-0.53)";="(-0.57)";="(-0.59)";="(-0.69)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.240";="";="";=""
="";="(-1.36)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.266";="";=""
="";="";="(-1.43)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0914";=""
="";="";="";="(-0.45)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.460*"
="";="";="";="";="(-1.70)"

="cut1";="";="";="";=""
="Const";="-0.0446";="-0.0750";="0.0193";="-0.298"
="";="(-0.25)";="(-0.41)";="(0.10)";="(-1.24)"

="cut2";="";="";="";=""
="Const";="1.464***";="1.436***";="1.524***";="1.208***"
="";="(6.67)";="(6.44)";="(6.11)";="(4.21)"

="cut3";="";="";="";=""
="Const";="2.234***";="2.207***";="2.296***";="1.975***"
="";="(7.46)";="(7.23)";="(7.05)";="(5.44)"

="cut4";="";="";="";=""
="Const";="2.577***";="2.550***";="2.639***";="2.313***"
="";="(8.94)";="(8.70)";="(8.37)";="(6.40)"

="cut5";="";="";="";=""
="Const";="2.714***";="2.686***";="2.775***";="2.446***"
="";="(9.77)";="(9.33)";="(8.66)";="(6.52)"

="cut6";="";="";="";=""
="Const";="3.373***";="3.338***";="3.422***";="3.088***"
="";="(9.71)";="(9.21)";="(8.43)";="(6.65)"

="cut7";="";="";="";=""
="Const";="3.612***";="3.568***";="3.652***";="3.317***"
="";="(7.44)";="(7.26)";="(6.84)";="(5.64)"

="cut8";="";="";="";=""
="Const";="3.924***";="3.875***";="3.955***";="3.624***"
="";="(5.09)";="(5.06)";="(4.93)";="(4.25)"

="sigma2_u";="";="";="";=""
="Const";="0.786**";="0.790**";="0.771**";="0.728*"
="";="(2.02)";="(2.03)";="(2.01)";="(1.89)"

="Observations";="435";="435";="435";="435"
="r2_mf";="0.0232";="0.0237";="0.0208";="0.0246"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
